Code,Item,Group,Region_Number,REGION_NAME,State_Name,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Average_Annual_Percent_Growth
11,Population (Thousands),State,5,Southeast,Mississippi,2599,2624,2655,2689,2723,2748,2777,2805,2828,2848,2853,2859,2868,2889,2906,2905,2928,2948,2959,2970,2978,2985,2990,2992,0.6
11,Population (Thousands),State,4,Plains,Missouri,5171,5217,5271,5324,5378,5432,5481,5522,5562,5607,5641,5675,5709,5748,5790,5843,5888,5924,5961,5996,6011,6025,6043,6061,0.7
11,Population (Thousands),State,7,Rocky Mountains,Montana,810,826,845,861,877,886,890,892,898,904,907,912,920,930,940,953,965,976,984,991,998,1005,1014,1023,1
11,Population (Thousands),State,4,Plains,Nebraska,1596,1612,1626,1639,1657,1674,1686,1696,1705,1714,1720,1728,1739,1749,1761,1773,1783,1796,1813,1830,1842,1856,1869,1881,0.7
11,Population (Thousands),State,8,Far West,Nevada,1296,1351,1411,1499,1582,1666,1764,1853,1935,2019,2098,2174,2249,2346,2432,2523,2601,2654,2685,2703,2718,2753,2786,2833,3.5
11,Population (Thousands),State,1,New England,New Hampshire,1110,1118,1129,1143,1158,1175,1189,1206,1222,1240,1256,1269,1280,1290,1298,1308,1313,1316,1316,1317,1318,1321,1323,1329,0.8
11,Population (Thousands),State,2,Mideast,New Jersey,7815,7881,7949,8014,8083,8150,8219,8287,8360,8431,8493,8553,8601,8635,8652,8662,8678,8711,8756,8804,8841,8873,8899,8925,0.6
11,Population (Thousands),State,6,Southwest,New Mexico,1555,1595,1636,1682,1720,1752,1775,1793,1808,1821,1832,1855,1878,1904,1932,1962,1990,2011,2037,2065,2078,2084,2085,2083,1.3
11,Population (Thousands),State,2,Mideast,New York,18123,18247,18375,18459,18524,18588,18657,18756,18883,19002,19083,19138,19176,19172,19133,19105,19132,19212,19307,19403,19520,19603,19674,19719,0.4
11,Population (Thousands),State,5,Southeast,North Carolina,6784,6897,7043,7187,7345,7501,7657,7809,7949,8082,8210,8326,8423,8553,8705,8917,9118,9309,9450,9559,9651,9746,9842,9934,1.7
11,Population (Thousands),State,4,Plains,North Dakota,636,638,641,645,648,650,650,648,644,642,639,638,639,645,646,649,653,658,665,675,685,702,724,740,0.7
11,Population (Thousands),State,3,Great Lakes,Ohio,10946,11029,11101,11152,11203,11243,11277,11312,11335,11364,11387,11408,11435,11452,11463,11481,11500,11515,11529,11541,11545,11551,11570,11594,0.3
