year,superregion2,iso3,countryname,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
1995,MENA,AFG,Afghanistan,999,1,1,2,182.24789,168.3441,13.624985,7.3020134,3.0603619,231.00383,267.69421,44.37254,410.73059,1250.515,21.737499
1995,MENA,AFG,Afghanistan,999,1,1,3,221.54636,188.49866,14.675453,8.7013226,3.7683296,210.62878,334.63062,45.010017,428.12067,1296.2461,26.979694
1995,MENA,AFG,Afghanistan,999,1,1,999,154.91679,160.76848,12.427485,5.8606629,2.6620939,199.77368,206.71472,43.127151,397.19434,1209.3634,17.461668
1995,MENA,AFG,Afghanistan,999,1,999,1,128.71184,151.55629,11.615774,4.9002867,2.1451223,220.43243,152.45993,42.915985,370.20685,1183.4608,13.999156
1995,MENA,AFG,Afghanistan,999,1,999,2,162.20929,162.65033,12.914378,6.5898981,2.6387599,261.04401,218.38269,44.430103,387.83365,1240.6719,19.121119
1995,MENA,AFG,Afghanistan,999,1,999,3,196.67778,182.26877,14.154061,7.8057809,3.2433922,237.26874,270.51474,44.979012,404.55051,1289.0992,23.720758
1995,MENA,AFG,Afghanistan,999,1,999,999,137.66335,155.26494,11.954041,5.3043904,2.2858059,225.33838,168.65227,43.229076,374.78839,1197.8022,15.307053
1995,MENA,AFG,Afghanistan,999,999,0,1,115.79028,114.88802,8.5615168,3.5910678,1.7348369,297.15497,141.13048,41.206406,350.50372,1149.2798,16.505983
1995,MENA,AFG,Afghanistan,999,999,0,2,145.43172,122.80211,9.5167971,4.8122015,2.1470582,352.39124,202.07686,42.643467,367.60104,1205.9983,22.583563
1995,MENA,AFG,Afghanistan,999,999,0,3,176.29814,138.12245,10.490828,5.6956563,2.6263177,317.35977,249.68481,43.144875,382.54898,1256.6246,27.940165
1995,MENA,AFG,Afghanistan,999,999,0,999,123.74451,117.65383,8.8159847,3.8835523,1.8499911,303.58319,156.04709,41.501785,354.8327,1163.735,18.048717
